zip,name
37201,Downtown
37203,Music Row | Edgehill | Midtown | Green Hills
37204,Berry Hill | Melrose
37205,West Meade | West Nashville
37206,East Nashville
37207,Brick Church Bellshire
37208,Elizabeth Park | North Nashville
37209,Bells Bend | Bordeaux-Whites Creek
37210,South Nashville
37211,Southeast Nashville
37212,Midtown | Green Hills
37213,East Nashville
37214,Donelson | Airport
37215,Green Hills | Forest Hills
37216,Inglewood
37217,South Hermitage | Antioch
37218,West Nashville
37219,Capitol Hill Area | Downtown
37220,Oak Hill | Crieve Hall
37221,Bellevue
37228,Metro Center | North Nashville
