duration,measure_Id
"60",0
"180",1
"180",2
"180",3
"180",4
"180",5
"180",6
"180",7
"180",8
"180",9
"180",10
"180",11
"180",12
"180",13
"180",14
"180",15
"180",16
"180",17
"180",18
"180",19
"180",20
"180",21
"180",22
"180",23
"180",24
"180",25
"180",26
"180",27
"180",28
"180",29
"180",30
"180",31
"180",32
"180",33
"180",34
"180",35
"180",36
"180",37
"180",38
"180",39
"180",40
"180",41
"180",42
"180",43
"180",44
"180",45
"180",46
"180",47
"180",48
"180",49
"180",50
"180",51
"180",52
"180",53
"180",54
"180",55
"180",56
