direction_Id,staff,placement,measure_Id
0,"1","below",0
1,"2","below",1
2,"2","below",1
3,"2","below",2
4,"2","below",2
5,"2","below",3
6,"2","below",3
7,"2","below",4
8,"2","below",4
9,"2","below",5
10,"2","below",5
11,"2","below",6
12,"2","below",6
13,"2","below",7
14,"2","below",7
15,"1","below",8
16,"2","below",8
17,"2","below",8
18,"2","below",9
19,"2","below",9
20,"2","below",10
21,"2","below",10
22,"2","below",11
23,"2","below",11
24,"2","below",12
25,"2","below",12
26,"1","below",13
27,"2","below",13
28,"2","below",13
29,"1","below",14
30,"1","below",14
31,"2","below",14
32,"2","below",14
33,"2","below",15
34,"2","below",15
35,"2","below",16
36,"2","below",16
37,"1","below",17
38,"2","below",17
39,"2","below",17
40,"2","below",18
41,"2","below",18
42,"2","below",19
43,"2","below",19
44,"2","below",20
45,"2","below",20
46,"1","above",21
47,"2","below",21
48,"2","below",21
49,"2","below",22
50,"2","below",22
51,"2","below",23
52,"2","below",23
53,"1","above",24
54,"2","below",24
55,"2","below",24
56,"1","below",25
57,"2","below",25
58,"2","below",25
59,"2","below",26
60,"2","below",26
61,"2","below",27
62,"2","below",27
63,"2","below",28
64,"2","below",28
65,"2","below",29
66,"2","below",29
67,"2","below",30
68,"2","below",30
69,"1","below",31
70,"1","below",31
71,"2","below",31
72,"2","below",31
73,"2","below",32
74,"2","below",32
75,"1","below",33
76,"2","below",33
77,"2","below",33
78,"2","below",34
79,"2","below",34
80,"2","below",35
81,"2","below",35
82,"2","below",36
83,"2","below",36
84,"2","below",37
85,"2","below",37
86,"2","below",38
87,"2","below",38
88,"2","below",39
89,"2","below",39
90,"2","below",40
91,"2","below",40
92,"2","below",41
93,"2","below",41
94,"2","below",42
95,"2","below",42
96,"2","below",43
97,"2","below",43
98,"2","below",44
99,"2","below",44
100,"2","below",45
101,"2","below",45
102,"2","below",46
103,"2","below",46
104,"2","below",47
105,"2","below",47
106,"1","below",48
107,"2","below",48
108,"2","below",48
109,"2","below",49
110,"2","below",49
111,"2","below",50
112,"2","below",50
113,"2","below",51
114,"2","below",51
115,"2","below",52
116,"2","below",52
117,"2","below",53
118,"2","below",53
119,"2","below",54
120,"2","below",54
121,"2","below",55
122,"2","below",55
123,"2","below",56
124,"2","below",56
