type,line,direction-type_Id
"start","yes",1
"stop","yes",2
"start","yes",3
"stop","yes",4
"start","yes",5
"stop","yes",6
"start","yes",7
"stop","yes",8
"start","yes",9
"stop","yes",10
"start","yes",11
"stop","yes",12
"start","yes",13
"stop","yes",14
"start","yes",16
"stop","yes",17
"start","yes",18
"stop","yes",19
"start","yes",20
"stop","yes",21
"start","yes",22
"stop","yes",23
"start","yes",24
"stop","yes",25
"start","yes",27
"stop","yes",28
"start","yes",31
"stop","yes",32
"start","yes",33
"stop","yes",34
"start","yes",35
"stop","yes",36
"start","yes",38
"stop","yes",39
"start","yes",40
"stop","yes",41
"start","yes",42
"stop","yes",43
"start","yes",44
"stop","yes",45
"start","yes",47
"stop","yes",48
"start","yes",49
"stop","yes",50
"start","yes",51
"stop","yes",52
"start","yes",54
"stop","yes",55
"start","yes",57
"stop","yes",58
"start","yes",59
"stop","yes",60
"start","yes",61
"stop","yes",62
"start","yes",63
"stop","yes",64
"start","yes",65
"stop","yes",66
"start","yes",67
"stop","yes",68
"start","yes",71
"stop","yes",72
"start","yes",73
"stop","yes",74
"start","yes",76
"stop","yes",77
"start","yes",78
"stop","yes",79
"start","yes",80
"stop","yes",81
"start","yes",82
"stop","yes",83
"start","yes",84
"stop","yes",85
"start","yes",86
"stop","yes",87
"start","yes",88
"stop","yes",89
"start","yes",90
"stop","yes",91
"start","yes",92
"stop","yes",93
"start","yes",94
"stop","yes",95
"start","yes",96
"stop","yes",97
"start","yes",98
"stop","yes",99
"start","yes",100
"stop","yes",101
"start","yes",102
"stop","yes",103
"start","yes",104
"stop","yes",105
"start","yes",107
"stop","yes",108
"start","yes",109
"stop","yes",110
"start","yes",111
"stop","yes",112
"start","yes",113
"stop","yes",114
"start","yes",115
"stop","yes",116
"start","yes",117
"stop","yes",118
"start","yes",119
"stop","yes",120
"start","yes",121
"stop","yes",122
"start","yes",123
"stop","yes",124
