step,alter,octave,note_Id
"E","","4",0
"A","","4",2
"B","","4",3
"C","","5",4
"C","","5",5
"A","","1",6
"A","","3",7
"C","","4",8
"E","","4",9
"A","","3",10
"C","","4",11
"E","","4",12
"D","","5",13
"E","","5",14
"F","","5",15
"D","","2",16
"A","","3",17
"D","","4",18
"F","","4",19
"A","","3",20
"D","","4",21
"F","","4",22
"B","","4",23
"C","","5",24
"D","","5",25
"A","","5",26
"G","","5",27
"F","","5",28
"G","","2",29
"G","","3",30
"B","","3",31
"F","","4",32
"G","","3",33
"B","","3",34
"F","","4",35
"E","","5",36
"F","","5",37
"E","","5",38
"D","1","5",39
"E","","5",40
"C","","3",41
"G","","3",42
"C","","4",43
"E","","4",44
"G","","3",45
"C","","4",46
"E","","4",47
"A","","4",48
"B","","4",49
"C","","5",50
"C","","5",51
"A","","2",52
"A","","3",53
"C","","4",54
"E","","4",55
"A","","3",56
"C","","4",57
"E","","4",58
"D","","5",59
"E","","5",60
"F","","5",61
"D","","2",62
"A","","3",63
"D","","4",64
"F","","4",65
"A","","3",66
"D","","4",67
"F","","4",68
"B","","4",69
"C","","5",70
"D","","5",71
"A","","5",72
"G","","5",73
"B","","4",74
"G","","2",75
"G","","3",76
"B","","3",77
"F","","4",78
"G","","3",79
"B","","3",80
"F","","4",81
"C","","5",82
"E","","4",84
"C","","3",85
"G","","3",86
"C","","4",87
"E","","4",88
"A","","4",90
"B","","4",91
"C","","5",92
"C","","5",93
"A","","2",94
"A","","3",95
"C","","4",96
"E","","4",97
"A","","3",98
"C","","4",99
"E","","4",100
"D","","5",101
"E","","5",102
"F","","5",103
"D","","2",104
"A","","3",105
"D","","4",106
"F","","4",107
"A","","3",108
"D","","4",109
"F","","4",110
"B","","4",111
"C","","5",112
"D","","5",113
"A","","5",114
"G","","5",115
"F","","5",116
"G","","2",117
"G","","3",118
"B","","3",119
"F","","4",120
"G","","3",121
"B","","3",122
"F","","4",123
"E","","5",124
"F","","5",125
"E","","5",126
"D","1","5",127
"E","","5",128
"C","","3",129
"G","","3",130
"C","","4",131
"E","","4",132
"G","","3",133
"C","","4",134
"E","","4",135
"C","","5",136
"D","","5",137
"E","","5",138
"E","","5",139
"A","","2",140
"A","","3",141
"C","","4",142
"E","","4",143
"A","","3",144
"C","","4",145
"E","","4",146
"F","","5",147
"G","","5",148
"A","","5",149
"D","","2",150
"A","","3",151
"D","","4",152
"F","","4",153
"A","","3",154
"D","","4",155
"F","","4",156
"G","","5",157
"F","1","5",158
"G","","5",159
"D","","6",160
"F","","5",161
"G","","2",162
"G","","3",163
"B","","3",164
"F","","4",165
"G","","3",166
"B","","3",167
"F","","4",168
"E","","5",169
"C","","3",170
"G","","3",171
"C","","4",172
"E","","4",173
"G","","3",174
"C","","4",175
"E","","4",176
"E","","5",177
"F","1","5",178
"G","1","5",179
"A","","5",180
"B","","5",181
"C","","6",182
"E","","2",183
"E","","3",184
"B","","3",185
"D","","4",186
"E","","3",187
"G","1","3",188
"D","","4",189
"B","","5",190
"C","","6",191
"B","","5",192
"A","","5",193
"E","","5",194
"B","","5",195
"A","","5",196
"A","","2",197
"E","","3",198
"A","","3",199
"C","","4",200
"E","","3",201
"A","","3",202
"C","","4",203
"A","","5",204
"B","","5",205
"A","","5",206
"G","1","5",207
"E","","5",208
"F","","5",209
"E","","5",210
"E","","2",211
"E","","3",212
"B","","3",213
"D","","4",214
"E","","3",215
"B","","3",216
"D","","4",217
"E","","5",218
"F","","5",219
"E","","5",220
"C","","5",221
"A","","4",222
"B","","4",223
"A","","4",224
"A","","2",225
"E","","3",226
"A","","3",227
"C","","4",228
"E","","3",229
"A","","3",230
"C","","4",231
"E","","4",232
"G","1","4",233
"B","","4",234
"E","","5",235
"G","1","5",236
"B","","5",237
"E","","6",238
"G","1","6",239
"B","","6",240
"C","","7",241
"E","","2",242
"E","","3",243
"B","","3",244
"D","","4",245
"E","","3",246
"G","1","3",247
"D","","4",248
"B","","6",249
"C","","7",250
"B","","6",251
"A","","6",252
"E","","6",253
"B","","6",254
"A","","6",255
"A","","2",256
"E","","3",257
"A","","3",258
"C","","4",259
"E","","3",260
"A","","3",261
"C","","4",262
"A","","6",263
"B","","6",264
"A","","6",265
"G","1","6",266
"E","","6",267
"E","","7",268
"E","","7",269
"E","","2",270
"E","","3",271
"B","","3",272
"D","","4",273
"E","","3",274
"B","","3",275
"D","","4",276
"A","","6",277
"A","","2",279
"E","","3",280
"A","","3",281
"C","","4",282
"E","","3",283
"A","","3",284
"C","","4",285
"A","","4",286
"B","","4",287
"C","","5",288
"C","","5",289
"A","","1",290
"A","","3",291
"C","","4",292
"E","","4",293
"A","","3",294
"C","","4",295
"E","","4",296
"D","","5",297
"E","","5",298
"F","","5",299
"D","","2",300
"A","","3",301
"D","","4",302
"F","","4",303
"A","","3",304
"D","","4",305
"F","","4",306
"B","","4",307
"C","","5",308
"D","","5",309
"A","","5",310
"G","","5",311
"F","","5",312
"G","","2",313
"G","","3",314
"B","","3",315
"F","","4",316
"G","","3",317
"B","","3",318
"F","","4",319
"E","","5",320
"F","","5",321
"E","","5",322
"D","1","5",323
"E","","5",324
"C","","3",325
"G","","3",326
"C","","4",327
"E","","4",328
"G","","3",329
"C","","4",330
"E","","4",331
"C","","5",332
"D","","5",333
"E","","5",334
"E","","5",335
"A","","2",336
"A","","3",337
"C","","4",338
"E","","4",339
"A","","3",340
"C","","4",341
"E","","4",342
"F","","5",343
"G","","5",344
"A","","5",345
"D","","2",346
"A","","3",347
"D","","4",348
"F","","4",349
"A","","3",350
"D","","4",351
"F","","4",352
"D","1","5",353
"E","","5",354
"F","1","5",355
"F","1","5",356
"B","","1",357
"A","","3",358
"B","","3",359
"D","1","4",360
"A","","3",361
"B","","3",362
"D","1","4",363
"G","1","5",364
"A","","5",365
"B","","5",366
"E","","2",367
"E","","3",368
"B","","3",369
"D","","4",370
"B","","5",372
"C","1","6",373
"D","","6",374
"F","1","6",375
"E","","6",376
"D","","6",377
"E","","2",378
"E","","3",379
"G","1","3",380
"D","","4",381
"E","","3",382
"G","1","3",383
"D","","4",384
"C","1","6",385
"B","","5",386
"C","1","6",387
"G","1","5",388
"A","","5",389
"F","1","5",390
"A","","2",391
"E","","3",392
"A","","3",393
"C","1","4",394
"E","","3",395
"A","","3",396
"C","1","4",397
"E","","5",398
"F","1","5",399
"E","","5",400
"D","","5",401
"G","1","4",402
"F","1","5",403
"E","","5",404
"E","","2",405
"E","","3",406
"B","","3",407
"D","","4",408
"E","","3",409
"B","","3",410
"D","","4",411
"E","","5",412
"F","1","5",413
"E","","5",414
"C","1","5",415
"A","","4",416
"F","1","5",417
"E","","5",418
"A","","2",419
"E","","3",420
"A","","3",421
"C","1","4",422
"E","","3",423
"A","","3",424
"C","1","4",425
"B","","5",426
"C","1","6",427
"D","","6",428
"F","1","6",429
"E","","6",430
"D","","6",431
"E","","2",432
"E","","3",433
"G","1","3",434
"D","","4",435
"E","","3",436
"G","1","3",437
"D","","4",438
"C","1","6",439
"B","","5",440
"C","1","6",441
"G","1","5",442
"A","","5",443
"F","1","5",444
"A","","2",445
"E","","3",446
"A","","3",447
"C","1","4",448
"E","","3",449
"A","","3",450
"C","1","4",451
"E","","5",452
"F","1","5",453
"E","","5",454
"D","","5",455
"G","1","4",456
"F","1","5",457
"E","","5",458
"G","1","4",459
"E","","2",460
"E","","3",461
"B","","3",462
"D","","4",463
"E","","3",464
"B","","3",465
"D","","4",466
"A","","4",467
"E","","4",469
"A","","2",470
"E","","3",471
"C","1","4",472
"A","","4",474
"B","","4",475
"C","","5",476
"C","","5",477
"A","","1",478
"A","","3",479
"C","","4",480
"E","","4",481
"A","","3",482
"C","","4",483
"E","","4",484
"D","","5",485
"E","","5",486
"F","","5",487
"D","","2",488
"A","","3",489
"D","","4",490
"F","","4",491
"A","","3",492
"D","","4",493
"F","","4",494
"B","","4",495
"C","","5",496
"D","","5",497
"A","","5",498
"G","","5",499
"F","","5",500
"G","","2",501
"G","","3",502
"B","","3",503
"F","","4",504
"G","","3",505
"B","","3",506
"F","","4",507
"E","","5",508
"F","","5",509
"E","","5",510
"D","1","5",511
"E","","5",512
"C","","3",513
"G","","3",514
"C","","4",515
"E","","4",516
"G","","3",517
"C","","4",518
"E","","4",519
"A","","4",520
"B","","4",521
"C","","5",522
"C","","5",523
"A","","2",524
"A","","3",525
"C","","4",526
"E","","4",527
"A","","3",528
"C","","4",529
"E","","4",530
"D","","5",531
"E","","5",532
"F","","5",533
"D","","2",534
"A","","3",535
"D","","4",536
"F","","4",537
"A","","3",538
"D","","4",539
"F","","4",540
"B","","4",541
"C","","5",542
"D","","5",543
"A","","5",544
"G","","5",545
"B","","4",546
"G","","2",547
"G","","3",548
"B","","3",549
"F","","4",550
"G","","3",551
"B","","3",552
"F","","4",553
"C","","5",554
"E","","4",556
"C","","3",557
"G","","3",558
"E","","4",559
"A","","4",561
"B","","4",562
"C","","5",563
"C","","5",564
"A","","1",565
"A","","3",566
"C","","4",567
"E","","4",568
"A","","3",569
"C","","4",570
"E","","4",571
"D","","5",572
"E","","5",573
"F","","5",574
"D","","2",575
"A","","3",576
"D","","4",577
"F","","4",578
"A","","3",579
"D","","4",580
"F","","4",581
"E","","5",583
"D","1","5",584
"E","","5",585
"B","","5",586
"D","","5",587
"E","","2",588
"E","","3",589
"G","1","3",590
"D","","4",591
"E","","3",592
"G","1","3",593
"D","","4",594
"C","","5",595
"A","","2",597
"E","","3",598
"A","","3",599
"C","","4",600
"E","","3",601
"A","","3",602
"C","","4",603
"C","","6",605
"B","","5",606
"A","","5",607
"G","","5",608
"F","","5",609
"C","","3",610
"E","","3",611
"A","","3",612
"E","","4",613
"E","","5",615
"D","","5",616
"C","1","5",617
"D","","5",618
"E","","5",619
"F","","5",620
"D","","3",621
"A","","3",622
"B","","3",623
"F","","4",624
"E","","5",626
"D","1","5",627
"E","","5",628
"F","","5",629
"G","1","4",630
"E","","2",631
"E","","3",632
"C","","4",633
"E","","3",634
"B","","3",635
"D","","4",636
"A","","4",637
"A","","2",639
"E","","3",640
"C","","4",641
